Month,Year,n_visitor,bombing
March,2005,117340,0
April,2005,116486,0
May,2005,116814,0
June,2005,136544,0
July,2005,158731,0
August,2005,157456,0
September,2005,162307,0
October,2005,81343,22
November,2005,62894,0
December,2005,76084,0
January,2006,80002,0
February,2006,73075,0
March,2006,84262,0
April,2006,104044,0
May,2006,101951,0
June,2006,109825,0
July,2006,122323,0
August,2006,118441,0
September,2006,118551,0
October,2006,112876,0
November,2006,114081,0
December,2006,123106,0
January,2007,109875,0
February,2007,118483,0
March,2007,119458,0
April,2007,125393,0
May,2007,129039,0
June,2007,145500,0
July,2007,164972,0
August,2007,167031,0
September,2007,152804,0
October,2007,146385,0
November,2007,142124,0
December,2007,147467,0
January,2008,147799,0
February,2008,161776,0
March,2008,160708,0
April,2008,154911,0
May,2008,167463,0
June,2008,178404,0
July,2008,190854,0
August,2008,195549,0
September,2008,189346,0
October,2008,189234,0
November,2008,173077,0
December,2008,175963,0
January,2009,222546,0
February,2009,184803,0
March,2009,221282,0
April,2009,218443,0
May,2009,232255,0
June,2009,235198,0
July,2009,200566,0
August,2009,190803,0
September,2009,188776,0
October,2009,168205,0
November,2009,147704,0
December,2009,174541,0
January,2010,227251,0
February,2010,199861,0
March,2010,229904,0
April,2010,240947,0
May,2010,243154,0
June,2010,254907,0
July,2010,228045,0
August,2010,203388,0
September,2010,184907,0
October,2010,192579,0
November,2010,191926,0
December,2010,179273,0
January,2011,253591,0
February,2011,221603,0
March,2011,247565,0
April,2011,258440,0
May,2011,258377,0
June,2011,283524,0
July,2011,245652,0
August,2011,209058,0
September,2011,224704,0
October,2011,207907,0
November,2011,207195,0
December,2011,209093,0
January,2012,268072,0
February,2012,242781,0
March,2012,255021,0
April,2012,257363,0
May,2012,254079,0
June,2012,271512,0
July,2012,244080,0
August,2012,220700,0
September,2012,225488,0
October,2012,230957,0
November,2012,225993,0
December,2012,253286,0
January,2013,299013,0
February,2013,307276,0
March,2013,266562,0
April,2013,305629,0
May,2013,309219,0
June,2013,297878,0
July,2013,275667,0
August,2013,247972,0
September,2013,242369,0
October,2013,252210,0
November,2013,241868,0
December,2013,232935,0
January,2014,347370,0
February,2014,296876,0
March,2014,341651,0
April,2014,354762,0
May,2014,336763,0
June,2014,361066,0
July,2014,330396,0
August,2014,286033,0
September,2014,280096,0
October,2014,276573,0
November,2014,275795,0
December,2014,279257,0
January,2015,370640,0
February,2015,270935,0
March,2015,369447,0
April,2015,389060,0
May,2015,303621,0
June,2015,382683,0
July,2015,359702,0
August,2015,295973,0
September,2015,313763,0
October,2015,305272,0
November,2015,338991,0
December,2015,301748,0
January,2016,442800,0
February,2016,413232,0
March,2016,432215,0
April,2016,445716,0
May,2016,438135,0
June,2016,484231,0
July,2016,405835,0
August,2016,394557,0
September,2016,380767,0
October,2016,364113,0
November,2016,375744,0
December,2016,350592,0
January,2017,315909,0
February,2017,361006,0
March,2017,465085,0
April,2017,550520,0
May,2017,601884,0
June,2017,592046,0
July,2017,504141,0
August,2017,489376,0
September,2017,477464,0
October,2017,425499,0
November,2017,453985,0
December,2017,460824,0
January,2018,498819,0
February,2018,406725,0
March,2018,517889,0
April,2018,555903,0
